order_id,order_date,customer_id,customer_name,email,city,state,product_id,product_name,category,price,quantity,payment_method,order_status
2956,2025-10-08,C123,Robert Simpson,territaylor@example.com,Staceychester,Alaska,P101,iPhone 15,Electronics,80000,2,Net Banking,Cancelled
1887,2025-07-15,C349,Cory Sanders,brewerlawrence@example.com,West Scott,Kansas,P106,Office Chair,Furniture,7000,3,Debit Card,Delivered
1609,2025-12-18,C119,Alexis Singh,dcollins@example.com,Port Lauraton,Delaware,P103,Nike Shoes,Fashion,5000,4,Net Banking,Returned
1282,2025-09-26,C442,Angela Williams,erinburch@example.net,Thomasberg,Virginia,P102,Samsung TV,Electronics,60000,2,COD,Returned
1409,2025-11-14,C306,Barbara Villarreal,gnorman@example.net,Cassandraland,Nebraska,P104,Levi's Jeans,Fashion,3000,1,Credit Card,Delivered
1247,2026-02-11,C411,Christian Jones,kimberly21@example.com,Jamieton,Rhode Island,P103,Nike Shoes,Fashion,5000,5,Debit Card,Cancelled
2480,2025-07-28,C252,Teresa Shepherd,nguyenalexis@example.net,South Julieport,Montana,P106,Office Chair,Furniture,7000,2,Debit Card,Returned
1639,2025-12-05,C239,Rebecca Calderon,enelson@example.net,East Nancy,Utah,P104,Levi's Jeans,Fashion,3000,5,Credit Card,Returned
2117,2026-01-25,C259,Joel Garcia,xsingleton@example.com,Rodriguezburgh,Missouri,P105,Dining Table,Furniture,20000,5,Debit Card,Returned
1317,2026-01-22,C376,Edward Figueroa,cooperchristina@example.org,Sarahville,Wisconsin,P101,iPhone 15,Electronics,80000,1,UPI,Delivered
2883,2025-04-26,C481,Heather Freeman,walterrogers@example.org,Alexisshire,Rhode Island,P102,Samsung TV,Electronics,60000,2,Net Banking,Returned
2410,2025-07-28,C257,Victoria Smith,jessica29@example.com,West Sarahmouth,Utah,P103,Nike Shoes,Fashion,5000,2,COD,Returned
1575,2025-12-29,C460,Todd Foley,lori79@example.net,Gonzalesborough,Maryland,P101,iPhone 15,Electronics,80000,3,Debit Card,Returned
1685,2025-05-12,C101,Steven Howell,brandonreeves@example.org,North Jasonstad,Maryland,P104,Levi's Jeans,Fashion,3000,2,Credit Card,Returned
1824,2025-06-22,C490,Teresa Barnes,emily89@example.net,Anthonychester,California,P106,Office Chair,Furniture,7000,4,UPI,Returned
1555,2026-01-27,C426,Matthew Robinson,jacob26@example.net,Youngmouth,Ohio,P105,Dining Table,Furniture,20000,3,COD,Cancelled
2498,2025-09-10,C295,Maria Wong,wcarter@example.com,South Gregory,Kentucky,P102,Samsung TV,Electronics,60000,1,Credit Card,Delivered
2975,2025-11-21,C442,Stacie Smith,rware@example.com,Port Angelaland,Oregon,P103,Nike Shoes,Fashion,5000,1,COD,Returned
1425,2025-05-19,C111,Christopher Johnson,alvaradoscott@example.com,Calebfurt,Georgia,P103,Nike Shoes,Fashion,5000,3,Net Banking,Returned
1162,2026-01-16,C163,Gavin Duarte,cclark@example.net,New Robin,Arizona,P101,iPhone 15,Electronics,80000,5,Net Banking,Returned
2182,2025-05-29,C482,Tony Franklin,quinnmonique@example.net,Haydenport,Indiana,P103,Nike Shoes,Fashion,5000,4,Debit Card,Delivered
2159,2025-11-29,C181,Jim Howard,mark73@example.com,Pamelafurt,Oregon,P102,Samsung TV,Electronics,60000,2,UPI,Returned
1285,2026-02-22,C388,Jessica Reeves,thompsondesiree@example.org,Port Jesus,Maine,P101,iPhone 15,Electronics,80000,5,Debit Card,Delivered
1558,2025-09-26,C432,Mr. Theodore Rodriguez,joshuasanders@example.org,Kathychester,New Jersey,P102,Samsung TV,Electronics,60000,3,COD,Delivered
1656,2025-11-14,C423,Richard Barrett,richard86@example.org,West Jennifer,Oregon,P104,Levi's Jeans,Fashion,3000,1,Debit Card,Returned
1870,2025-08-28,C258,Brandon Williams,robin94@example.net,Port Craig,North Carolina,P102,Samsung TV,Electronics,60000,4,Credit Card,Cancelled
1162,2025-04-09,C258,Brian Salas,watsonkathleen@example.org,Stacyshire,North Carolina,P105,Dining Table,Furniture,20000,2,Net Banking,Delivered
1613,2026-01-25,C323,Anthony Hood,khanholly@example.org,West Audreyhaven,Illinois,P105,Dining Table,Furniture,20000,2,COD,Delivered
2532,2026-01-18,C102,Joseph Bailey,rhernandez@example.com,East Margaret,Nevada,P102,Samsung TV,Electronics,60000,4,Debit Card,Returned
1098,2026-01-31,C432,Julie Pierce,alicia70@example.org,North Jennifer,Hawaii,P102,Samsung TV,Electronics,60000,1,Credit Card,Cancelled
2299,2025-11-20,C406,Gregory Wagner,qburnett@example.org,New Matthew,New York,P102,Samsung TV,Electronics,60000,5,Net Banking,Delivered
1523,2025-03-02,C441,Billy Leon,lsmith@example.org,East Jacobchester,Rhode Island,P101,iPhone 15,Electronics,80000,1,Net Banking,Cancelled
1059,2025-12-20,C238,Gloria Jackson,igreen@example.net,West Jenniferberg,Pennsylvania,P105,Dining Table,Furniture,20000,3,COD,Returned
2237,2025-03-07,C477,Maria Hester,qsoto@example.org,New Teresaburgh,Illinois,P106,Office Chair,Furniture,7000,1,Net Banking,Cancelled
2131,2025-07-26,C299,Scott Beasley,brianstephens@example.com,New Jamie,West Virginia,P101,iPhone 15,Electronics,80000,1,Debit Card,Delivered
2569,2025-07-10,C192,Brandon Patterson,marquezmary@example.net,Lake Michael,Louisiana,P106,Office Chair,Furniture,7000,5,COD,Cancelled
2685,2025-06-16,C386,Patricia Jackson,robert99@example.net,West Daniel,Oregon,P101,iPhone 15,Electronics,80000,4,COD,Cancelled
1665,2025-06-01,C367,Kristen Tate,rebecca44@example.com,Webbtown,Minnesota,P103,Nike Shoes,Fashion,5000,4,COD,Returned
1864,2025-04-18,C219,Elizabeth Garcia,steveschroeder@example.org,East Mariaborough,Iowa,P102,Samsung TV,Electronics,60000,4,COD,Cancelled
2347,2025-07-15,C466,Randy Green,ubarnett@example.org,Nicoleburgh,West Virginia,P103,Nike Shoes,Fashion,5000,3,Credit Card,Delivered
1786,2025-12-31,C350,Tony Keller,franklinbonnie@example.org,Christopherport,Oregon,P106,Office Chair,Furniture,7000,3,Net Banking,Returned
2654,2025-10-09,C345,Katie Smith,angela06@example.com,Thorntonton,New Hampshire,P104,Levi's Jeans,Fashion,3000,2,Net Banking,Returned
1328,2025-06-13,C484,Tammie Estes,olivia61@example.net,Danamouth,Wisconsin,P103,Nike Shoes,Fashion,5000,3,Debit Card,Delivered
2869,2025-06-10,C429,Linda Cannon,tcarlson@example.org,West Janeport,Missouri,P102,Samsung TV,Electronics,60000,5,Debit Card,Cancelled
1108,2026-01-27,C334,Samuel Townsend,gstone@example.com,Candiceside,Massachusetts,P105,Dining Table,Furniture,20000,3,Net Banking,Delivered
2396,2025-10-18,C402,Lisa Gordon,kristyrubio@example.org,Simonbury,Virginia,P102,Samsung TV,Electronics,60000,1,UPI,Cancelled
2587,2025-06-21,C259,Cassandra Bradshaw,comptonmaria@example.org,Lake Shannon,Alabama,P105,Dining Table,Furniture,20000,4,Debit Card,Returned
2374,2025-10-12,C127,Martin Hahn,james52@example.com,Adkinsview,Washington,P106,Office Chair,Furniture,7000,3,Credit Card,Delivered
2677,2025-10-10,C388,Tristan Lester,sweeneyandrew@example.net,New Eric,Vermont,P106,Office Chair,Furniture,7000,5,Debit Card,Cancelled
1225,2025-08-07,C159,Brian Smith,tara66@example.com,South Kevinborough,Oregon,P106,Office Chair,Furniture,7000,4,Credit Card,Returned
1463,2025-06-30,C105,Paula Douglas,browndonald@example.org,Campbellland,Minnesota,P102,Samsung TV,Electronics,60000,3,Credit Card,Cancelled
1177,2025-03-22,C484,Thomas Grant,ywilliamson@example.org,East Lisamouth,Nevada,P102,Samsung TV,Electronics,60000,4,Debit Card,Delivered
1211,2025-04-10,C196,Andrew Davis,ybrooks@example.com,Donaldberg,New Mexico,P101,iPhone 15,Electronics,80000,2,Credit Card,Cancelled
1938,2025-05-31,C103,Beth Gillespie,hopkinsdaniel@example.net,Port Andrewburgh,Iowa,P105,Dining Table,Furniture,20000,1,Credit Card,Returned
1072,2025-09-24,C201,Heather Schneider,michele05@example.com,East Rhondachester,Iowa,P106,Office Chair,Furniture,7000,2,Net Banking,Returned
1683,2026-01-27,C448,Thomas Ruiz,ldavis@example.net,Alecmouth,Massachusetts,P103,Nike Shoes,Fashion,5000,3,COD,Returned
2752,2026-02-11,C290,Natalie Jacobs,longjennifer@example.net,Port Elizabethtown,Michigan,P101,iPhone 15,Electronics,80000,3,Net Banking,Delivered
1732,2025-03-16,C275,Sarah Robinson,zsandoval@example.com,West Thomas,Virginia,P105,Dining Table,Furniture,20000,2,UPI,Delivered
2078,2025-09-26,C355,Jerry Gonzalez,hdunn@example.com,Hayesfurt,Oregon,P101,iPhone 15,Electronics,80000,2,Credit Card,Returned
2793,2025-04-12,C169,John King,prestonhannah@example.org,East Loganstad,Oregon,P106,Office Chair,Furniture,7000,5,Net Banking,Cancelled
2717,2025-12-10,C139,Mark Ryan,carneygeorge@example.net,Norrisview,Tennessee,P102,Samsung TV,Electronics,60000,3,COD,Returned
1302,2025-05-31,C198,Robert Collins,joshua69@example.org,South Edward,Oregon,P102,Samsung TV,Electronics,60000,1,Debit Card,Returned
1987,2025-08-23,C232,Laura Gibson,mooremartha@example.net,North Katherineport,Michigan,P101,iPhone 15,Electronics,80000,1,Debit Card,Returned
1457,2025-09-18,C466,Darrell Swanson,xking@example.org,Moodyview,Ohio,P106,Office Chair,Furniture,7000,3,UPI,Delivered
2368,2025-09-23,C410,Madison Mejia,melissafisher@example.org,Edwardschester,Hawaii,P106,Office Chair,Furniture,7000,1,COD,Cancelled
1208,2025-11-02,C239,Joshua Parker,clairepadilla@example.net,Rileymouth,Pennsylvania,P103,Nike Shoes,Fashion,5000,4,UPI,Returned
1638,2025-07-05,C358,Joseph Mason,meyerkristen@example.net,North Jenniferside,New Hampshire,P102,Samsung TV,Electronics,60000,5,UPI,Cancelled
1713,2025-03-13,C422,Jason Joseph,beth12@example.net,Lake Raymond,Ohio,P102,Samsung TV,Electronics,60000,2,COD,Delivered
2181,2026-02-24,C286,Dr. Jacqueline Young,ikelly@example.org,Melaniefort,Arizona,P105,Dining Table,Furniture,20000,2,UPI,Delivered
2528,2025-12-02,C186,Sheila Castaneda,victorharris@example.net,Maryport,Iowa,P103,Nike Shoes,Fashion,5000,5,UPI,Cancelled
1287,2025-07-20,C169,Tamara Warner,anthony80@example.org,Hicksstad,Nevada,P102,Samsung TV,Electronics,60000,1,Debit Card,Returned
2613,2025-05-14,C322,April Kane,tranwilliam@example.net,Johnport,Georgia,P106,Office Chair,Furniture,7000,2,Net Banking,Cancelled
1361,2025-12-03,C169,Shelia Kennedy,santosvictoria@example.net,Rebeccafurt,Oklahoma,P105,Dining Table,Furniture,20000,3,UPI,Returned
1878,2025-08-25,C386,Charles Torres,richard95@example.net,South Lisa,Louisiana,P103,Nike Shoes,Fashion,5000,1,COD,Cancelled
2445,2025-05-01,C334,Alyssa Todd,james35@example.net,West Rebeccatown,North Carolina,P103,Nike Shoes,Fashion,5000,4,Debit Card,Returned
2651,2025-10-15,C120,Phillip Harmon,tammytaylor@example.org,Lozanofort,Indiana,P105,Dining Table,Furniture,20000,3,UPI,Cancelled
2345,2025-05-18,C463,Michelle Hoffman,davidfields@example.net,New Michaelfort,Arizona,P101,iPhone 15,Electronics,80000,1,Net Banking,Delivered
2399,2025-07-12,C407,Elizabeth Newman,cochrandalton@example.org,West Traci,Washington,P105,Dining Table,Furniture,20000,1,COD,Cancelled
2474,2025-05-06,C169,Brian Macias,markhardin@example.net,Elizabethtown,Delaware,P104,Levi's Jeans,Fashion,3000,1,Credit Card,Cancelled
1144,2025-09-29,C214,David Velazquez,brett37@example.org,South Caitlinmouth,Louisiana,P103,Nike Shoes,Fashion,5000,4,Credit Card,Delivered
2692,2025-04-11,C172,Lindsey Washington,matthewlewis@example.com,North Mary,Wisconsin,P103,Nike Shoes,Fashion,5000,5,Debit Card,Delivered
1150,2025-08-22,C348,Lynn Smith,crystalpeterson@example.com,Johnsonstad,Colorado,P102,Samsung TV,Electronics,60000,3,UPI,Delivered
1488,2025-05-10,C347,David Wall,tinamurphy@example.net,Timothymouth,Colorado,P106,Office Chair,Furniture,7000,2,Net Banking,Cancelled
1960,2025-06-29,C497,Mr. Christopher Martinez Jr.,pmiller@example.com,Port Jamiemouth,Arkansas,P101,iPhone 15,Electronics,80000,3,UPI,Returned
1535,2025-09-26,C263,Daniel Moss,richard55@example.org,Mckinneyhaven,New York,P105,Dining Table,Furniture,20000,4,Net Banking,Returned
2076,2025-09-25,C180,Eric Medina,rodriguezmary@example.com,Robertberg,South Dakota,P102,Samsung TV,Electronics,60000,1,COD,Cancelled
1549,2025-11-21,C312,Laura Nelson,kayla68@example.com,Jenniferview,Utah,P103,Nike Shoes,Fashion,5000,2,Net Banking,Returned
2201,2025-10-26,C125,Crystal Molina,qhayes@example.org,Lake Wendymouth,Arizona,P104,Levi's Jeans,Fashion,3000,1,Net Banking,Cancelled
1549,2025-06-26,C409,Philip Bird,smithkevin@example.org,Keithchester,Missouri,P101,iPhone 15,Electronics,80000,1,UPI,Delivered
2227,2025-10-28,C285,Brandon Mcclain,ddelgado@example.com,East Amandachester,South Carolina,P104,Levi's Jeans,Fashion,3000,1,COD,Cancelled
1007,2025-05-28,C305,Jesse Byrd,laura04@example.org,Frankbury,Oklahoma,P101,iPhone 15,Electronics,80000,1,UPI,Cancelled
2186,2025-08-19,C209,Michael Mills,rhodge@example.org,Hernandezborough,Missouri,P106,Office Chair,Furniture,7000,4,Net Banking,Returned
2539,2025-03-03,C329,Kevin Mccarthy,vnelson@example.org,North Christopherland,Illinois,P106,Office Chair,Furniture,7000,2,Credit Card,Delivered
1070,2025-07-16,C220,David Mccann,gevans@example.com,Laurenland,Tennessee,P103,Nike Shoes,Fashion,5000,3,Credit Card,Delivered
1283,2026-02-10,C424,Eric Hester MD,ibarrachristy@example.org,Jodistad,New York,P105,Dining Table,Furniture,20000,4,COD,Returned
2865,2026-01-13,C168,Michael Garcia,chadharris@example.net,Port Katelyn,Michigan,P102,Samsung TV,Electronics,60000,4,COD,Delivered
1450,2025-03-13,C313,Rodney Silva,rodriguezjeffrey@example.org,South Stevenfort,Nevada,P105,Dining Table,Furniture,20000,1,COD,Returned
2756,2025-06-05,C337,Adam Horn,pamela50@example.com,Wilsonborough,Tennessee,P102,Samsung TV,Electronics,60000,4,UPI,Delivered
2408,2025-10-10,C408,Heather Wright,dawngonzalez@example.net,Brianland,Missouri,P106,Office Chair,Furniture,7000,3,Debit Card,Cancelled
1869,2026-01-31,C283,Katherine Richardson,shanele@example.org,Deanland,Ohio,P106,Office Chair,Furniture,7000,2,Credit Card,Cancelled
2671,2025-07-24,C474,Misty Dunlap,phamlisa@example.com,Andersonstad,Illinois,P104,Levi's Jeans,Fashion,3000,2,Debit Card,Delivered
2727,2025-11-30,C485,Morgan Ochoa,jenniferbennett@example.org,Kellyside,Texas,P106,Office Chair,Furniture,7000,5,UPI,Cancelled
2599,2025-09-25,C175,Andrew Evans,richardsonjohn@example.net,Jayport,Nebraska,P101,iPhone 15,Electronics,80000,3,COD,Delivered
2230,2025-03-25,C453,Cynthia Wilcox,loriware@example.net,Montgomerytown,North Dakota,P101,iPhone 15,Electronics,80000,5,Net Banking,Delivered
1528,2025-07-08,C423,Ricky Johnson,kbarrett@example.net,Williamtown,Montana,P103,Nike Shoes,Fashion,5000,5,Credit Card,Cancelled
2190,2025-11-14,C447,Stephen Brown,dduffy@example.net,Youngchester,North Dakota,P105,Dining Table,Furniture,20000,5,UPI,Returned
2783,2025-05-11,C442,Tyler Rodriguez,gbarrett@example.org,Port Shannonmouth,Missouri,P105,Dining Table,Furniture,20000,2,Net Banking,Delivered
2408,2025-09-20,C484,Albert Lucas,mcbridemichael@example.net,East Jamesmouth,New Mexico,P101,iPhone 15,Electronics,80000,1,Net Banking,Cancelled
1940,2026-02-19,C253,Emily Harper,scott76@example.org,South Kimberly,Florida,P101,iPhone 15,Electronics,80000,4,UPI,Cancelled
2645,2025-08-17,C468,Hannah Martin,theresajohnson@example.net,Port Thomasburgh,New Hampshire,P103,Nike Shoes,Fashion,5000,3,Debit Card,Delivered
2576,2025-05-14,C322,Brandi Jones,boylekelly@example.net,East Jamesfort,Maine,P104,Levi's Jeans,Fashion,3000,4,COD,Delivered
2701,2025-05-15,C384,Dan Ryan,stacey63@example.net,Dominguezberg,Mississippi,P104,Levi's Jeans,Fashion,3000,1,Net Banking,Returned
2006,2025-07-07,C272,Elizabeth Alvarado,lcampbell@example.org,Lake Jamie,Delaware,P105,Dining Table,Furniture,20000,1,Debit Card,Delivered
2434,2025-03-11,C324,Jason Ford,gbennett@example.com,North Samanthahaven,New Mexico,P101,iPhone 15,Electronics,80000,3,Debit Card,Returned
1978,2026-02-12,C452,Robert Schmidt,sarah99@example.net,Benjaminport,Mississippi,P103,Nike Shoes,Fashion,5000,1,COD,Cancelled
1715,2025-04-14,C234,Kyle Johnson,monica31@example.org,South Robert,Minnesota,P106,Office Chair,Furniture,7000,3,Debit Card,Delivered
1319,2025-10-14,C463,Jack Bailey,qgarcia@example.net,East Michael,Georgia,P101,iPhone 15,Electronics,80000,3,Debit Card,Delivered
2666,2025-08-22,C481,Alejandro James,davisdana@example.net,Jeffreyborough,Indiana,P106,Office Chair,Furniture,7000,4,UPI,Delivered
1646,2025-10-27,C317,Stephanie Ingram,maxwell82@example.org,Carlafort,Iowa,P105,Dining Table,Furniture,20000,1,COD,Delivered
1537,2025-07-10,C173,Joseph Villa,xwilliams@example.org,Acostamouth,Florida,P106,Office Chair,Furniture,7000,5,UPI,Delivered
2626,2025-03-02,C318,Joshua Lawson,nicholas80@example.net,Carlville,Minnesota,P106,Office Chair,Furniture,7000,2,Net Banking,Cancelled
1035,2025-06-06,C151,Alicia Chapman,becky84@example.net,Saraview,Utah,P104,Levi's Jeans,Fashion,3000,1,COD,Delivered
2464,2026-01-13,C433,Taylor Cross DDS,pjones@example.org,New Joshua,Wisconsin,P102,Samsung TV,Electronics,60000,3,Debit Card,Cancelled
2069,2025-09-23,C281,Kelly Horton,danielle54@example.com,East Wayneton,West Virginia,P101,iPhone 15,Electronics,80000,3,UPI,Cancelled
2225,2025-04-09,C339,Paul Sanchez,tina10@example.net,Jefferyburgh,New Mexico,P103,Nike Shoes,Fashion,5000,5,COD,Delivered
1572,2025-04-04,C341,Nathan Bond,qrichards@example.net,Michaelfort,California,P103,Nike Shoes,Fashion,5000,1,COD,Delivered
2452,2026-01-06,C405,Jessica Lopez,choirobert@example.org,Michelleton,New Mexico,P102,Samsung TV,Electronics,60000,2,Net Banking,Delivered
2791,2025-09-15,C162,Allen Farley,bjohnson@example.net,West Angela,Utah,P104,Levi's Jeans,Fashion,3000,5,Debit Card,Delivered
1812,2025-11-23,C270,Gloria Wilson,elizabethhernandez@example.org,East Michelle,Montana,P103,Nike Shoes,Fashion,5000,3,UPI,Cancelled
1621,2025-06-19,C458,Lindsay Cross,john68@example.net,Port Tarashire,Wyoming,P101,iPhone 15,Electronics,80000,3,COD,Cancelled
1705,2025-10-22,C459,Nicholas Turner,whiteaaron@example.org,New Heather,Georgia,P106,Office Chair,Furniture,7000,2,Credit Card,Returned
1813,2025-07-17,C349,Tracy Eaton,terrellmatthew@example.com,Bryantbury,Montana,P102,Samsung TV,Electronics,60000,1,Net Banking,Cancelled
2220,2025-10-16,C168,Audrey Williams,edwardmcclure@example.com,New Kimberlybury,Alabama,P103,Nike Shoes,Fashion,5000,5,UPI,Delivered
1238,2025-11-27,C125,Victor White,steven67@example.org,Nicholsfurt,New Mexico,P104,Levi's Jeans,Fashion,3000,4,COD,Cancelled
1712,2025-07-06,C444,Angela Smith,willie53@example.org,East Jamesberg,Ohio,P102,Samsung TV,Electronics,60000,2,COD,Delivered
2469,2025-05-19,C329,Chad Landry,gonzalezchris@example.com,Thomasland,Hawaii,P106,Office Chair,Furniture,7000,3,Credit Card,Cancelled
2027,2025-03-09,C238,Ronald Taylor,lunapaul@example.net,New Scott,Oregon,P104,Levi's Jeans,Fashion,3000,5,UPI,Delivered
1285,2025-10-05,C354,Wayne Jackson,karencarpenter@example.org,North Kenneth,Kentucky,P102,Samsung TV,Electronics,60000,1,COD,Delivered
2006,2025-11-11,C354,Veronica Armstrong,ldavis@example.com,Brittanyfurt,South Carolina,P102,Samsung TV,Electronics,60000,2,Net Banking,Returned
2303,2025-09-29,C114,Donna Conner,michaeldavidson@example.net,North Randystad,Delaware,P106,Office Chair,Furniture,7000,5,Credit Card,Delivered
1607,2025-11-18,C264,Christine Watson,samanthacarpenter@example.net,Williamsberg,Louisiana,P105,Dining Table,Furniture,20000,5,Net Banking,Returned
1363,2025-08-17,C422,Travis Klein,davidking@example.org,Francesborough,Oregon,P105,Dining Table,Furniture,20000,3,COD,Cancelled
2564,2025-03-31,C469,Laurie Davis,robert60@example.org,Port Caleb,Florida,P102,Samsung TV,Electronics,60000,5,Credit Card,Returned
1382,2025-04-15,C472,Gilbert Vang,kari91@example.com,Lake Jameshaven,Ohio,P104,Levi's Jeans,Fashion,3000,4,COD,Delivered
2096,2025-12-20,C391,Charles Jacobs,celliott@example.net,Rhondaport,Wyoming,P104,Levi's Jeans,Fashion,3000,1,UPI,Returned
2323,2026-01-25,C366,Scott Reynolds,maryatkins@example.net,Townsendview,South Carolina,P106,Office Chair,Furniture,7000,3,Credit Card,Delivered
1464,2026-01-04,C358,Emily Ruiz,knoxgregory@example.org,North Kathleen,Tennessee,P105,Dining Table,Furniture,20000,5,UPI,Cancelled
2643,2026-02-14,C309,Makayla Miller,sarahshaffer@example.net,North Jeffery,South Dakota,P104,Levi's Jeans,Fashion,3000,1,Net Banking,Cancelled
1953,2025-12-14,C205,Timothy Lewis,wrightpaul@example.com,West Karina,Georgia,P101,iPhone 15,Electronics,80000,5,Net Banking,Returned
3000,2025-11-16,C456,Carol Morris,ryan04@example.com,West Brianberg,Oklahoma,P102,Samsung TV,Electronics,60000,5,Debit Card,Returned
2270,2025-07-03,C156,Justin Bautista,tammy54@example.net,Wilsonshire,New Hampshire,P106,Office Chair,Furniture,7000,5,UPI,Cancelled
1731,2025-07-26,C298,Andrew Larson,lthompson@example.com,Rebeccaburgh,Washington,P101,iPhone 15,Electronics,80000,2,Credit Card,Delivered
2309,2025-12-14,C269,Gary Ramsey,mccormickjoseph@example.org,Michaelborough,Louisiana,P106,Office Chair,Furniture,7000,1,COD,Cancelled
2649,2026-02-24,C344,Noah Schmidt,rodney22@example.net,Cantrellfurt,Colorado,P104,Levi's Jeans,Fashion,3000,2,COD,Cancelled
2674,2025-07-14,C349,Ian Conway,kevin57@example.org,Brookeburgh,New Hampshire,P103,Nike Shoes,Fashion,5000,2,UPI,Delivered
1990,2026-02-15,C228,Thomas Powers,dylanmartin@example.com,New Maria,Ohio,P101,iPhone 15,Electronics,80000,4,UPI,Cancelled
1462,2025-10-26,C302,Jennifer Sims,stephaniehuff@example.com,West Shane,Oregon,P105,Dining Table,Furniture,20000,3,Credit Card,Returned
1598,2025-10-04,C186,Douglas Charles,larry47@example.org,South Marie,North Carolina,P104,Levi's Jeans,Fashion,3000,4,UPI,Delivered
2636,2025-11-10,C263,Sheila Gomez,urussell@example.org,Lake Donald,Maine,P104,Levi's Jeans,Fashion,3000,1,Debit Card,Delivered
1641,2026-02-17,C419,Tammie Santos,iproctor@example.net,South Charlesview,Wyoming,P106,Office Chair,Furniture,7000,1,Net Banking,Delivered
2292,2025-11-03,C491,Erin Greene,danielnatalie@example.org,Stephaniefurt,Virginia,P102,Samsung TV,Electronics,60000,5,Debit Card,Cancelled
2615,2026-02-25,C110,Donna Duncan,michaellewis@example.com,Lake Antonioland,Rhode Island,P101,iPhone 15,Electronics,80000,4,Net Banking,Cancelled
2822,2025-03-08,C290,Tina Anderson,barbara65@example.com,Clarkville,Florida,P105,Dining Table,Furniture,20000,3,UPI,Returned
1717,2025-08-04,C355,Erika Brown,fwells@example.net,New James,New Mexico,P102,Samsung TV,Electronics,60000,5,Net Banking,Returned
2499,2025-12-12,C248,Phillip Wagner,james56@example.com,East Richard,New Jersey,P105,Dining Table,Furniture,20000,1,Net Banking,Cancelled
2316,2025-05-07,C446,Christopher Dodson,gregorymiller@example.net,North Williamport,Kansas,P101,iPhone 15,Electronics,80000,4,COD,Returned
2506,2026-01-15,C414,Russell Reed,davidmelton@example.net,East Chadville,New Hampshire,P106,Office Chair,Furniture,7000,1,Debit Card,Cancelled
2407,2025-07-24,C197,Daniel Archer,amanda52@example.net,Sarahland,Mississippi,P101,iPhone 15,Electronics,80000,3,UPI,Delivered
1172,2025-05-25,C114,Manuel Miller,bianca84@example.net,Jonathanbury,Maryland,P103,Nike Shoes,Fashion,5000,4,Debit Card,Returned
1241,2025-11-01,C336,David Macdonald,bradshawsandra@example.net,Sextonborough,Missouri,P103,Nike Shoes,Fashion,5000,2,COD,Cancelled
2003,2025-07-09,C449,Richard Russell,uhowell@example.com,Port Justin,Washington,P104,Levi's Jeans,Fashion,3000,4,Debit Card,Returned
1572,2025-05-17,C105,Crystal Owens,athomas@example.net,Garychester,Wyoming,P101,iPhone 15,Electronics,80000,2,Net Banking,Returned
